----------------------------------------------------------------------------------------------------,
Accel-Sim-build,
APPS,A100
backprop-rodinia-2.0-ft/4096___data_result_4096_txt--all_kernels,accelsim-commit-ab9c47b_modified_0.0_26-09-06-19-18-22
bfs-rodinia-2.0-ft/__data_graph4096_txt___data_graph4096_result_txt--all_kernels,accelsim-commit-ab9c47b_modified_0.0_26-09-06-19-18-22
hotspot-rodinia-2.0-ft/30_6_40___data_result_30_6_40_txt--all_kernels,accelsim-commit-ab9c47b_modified_0.0_26-09-06-19-18-22
heartwall-rodinia-2.0-ft/__data_test_avi_1___data_result_1_txt--all_kernels,accelsim-commit-ab9c47b_modified_0.0_26-09-06-19-18-22
lud-rodinia-2.0-ft/_v__b__i___data_64_dat--all_kernels,accelsim-commit-ab9c47b_modified_0.0_26-09-06-19-18-22
nw-rodinia-2.0-ft/128_10___data_result_128_10_txt--all_kernels,accelsim-commit-ab9c47b_modified_0.0_26-09-06-19-18-22
nn-rodinia-2.0-ft/__data_filelist_4_3_30_90___data_filelist_4_3_30_90_result_txt--all_kernels,accelsim-commit-ab9c47b_modified_0.0_26-09-06-19-18-22
pathfinder-rodinia-2.0-ft/1000_20_5___data_result_1000_20_5_txt--all_kernels,accelsim-commit-ab9c47b_modified_0.0_26-09-06-19-18-22
srad_v2-rodinia-2.0-ft/__data_matrix128x128_txt_0_127_0_127__5_2___data_result_matrix128x128_1_150_1_100__5_2_txt--all_kernels,accelsim-commit-ab9c47b_modified_0.0_26-09-06-19-18-22
streamcluster-rodinia-2.0-ft/3_6_16_1024_1024_100_none_output_txt_1___data_result_3_6_16_1024_1024_100_none_1_txt--all_kernels,accelsim-commit-ab9c47b_modified_0.0_26-09-06-19-18-22

----------------------------------------------------------------------------------------------------,
GPGPU-Sim-build,
APPS,A100
backprop-rodinia-2.0-ft/4096___data_result_4096_txt--all_kernels,gpgpu-sim_git-commit-91880c53_modified_0.0.
bfs-rodinia-2.0-ft/__data_graph4096_txt___data_graph4096_result_txt--all_kernels,gpgpu-sim_git-commit-91880c53_modified_0.0.
hotspot-rodinia-2.0-ft/30_6_40___data_result_30_6_40_txt--all_kernels,gpgpu-sim_git-commit-91880c53_modified_0.0.
heartwall-rodinia-2.0-ft/__data_test_avi_1___data_result_1_txt--all_kernels,gpgpu-sim_git-commit-91880c53_modified_0.0.
lud-rodinia-2.0-ft/_v__b__i___data_64_dat--all_kernels,gpgpu-sim_git-commit-91880c53_modified_0.0.
nw-rodinia-2.0-ft/128_10___data_result_128_10_txt--all_kernels,gpgpu-sim_git-commit-91880c53_modified_0.0.
nn-rodinia-2.0-ft/__data_filelist_4_3_30_90___data_filelist_4_3_30_90_result_txt--all_kernels,gpgpu-sim_git-commit-91880c53_modified_0.0.
pathfinder-rodinia-2.0-ft/1000_20_5___data_result_1000_20_5_txt--all_kernels,gpgpu-sim_git-commit-91880c53_modified_0.0.
srad_v2-rodinia-2.0-ft/__data_matrix128x128_txt_0_127_0_127__5_2___data_result_matrix128x128_1_150_1_100__5_2_txt--all_kernels,gpgpu-sim_git-commit-91880c53_modified_0.0.
streamcluster-rodinia-2.0-ft/3_6_16_1024_1024_100_none_output_txt_1___data_result_3_6_16_1024_1024_100_none_1_txt--all_kernels,gpgpu-sim_git-commit-91880c53_modified_0.0.

----------------------------------------------------------------------------------------------------,
gpu_tot_sim_insn\s*=\s*(.*),
APPS,A100
backprop-rodinia-2.0-ft/4096___data_result_4096_txt--final_kernel,9290080
bfs-rodinia-2.0-ft/__data_graph4096_txt___data_graph4096_result_txt--final_kernel,1207402
hotspot-rodinia-2.0-ft/30_6_40___data_result_30_6_40_txt--final_kernel,32639372
heartwall-rodinia-2.0-ft/__data_test_avi_1___data_result_1_txt--final_kernel,6900708
lud-rodinia-2.0-ft/_v__b__i___data_64_dat--final_kernel,420900
nw-rodinia-2.0-ft/128_10___data_result_128_10_txt--final_kernel,572068
nn-rodinia-2.0-ft/__data_filelist_4_3_30_90___data_filelist_4_3_30_90_result_txt--final_kernel,6925358
pathfinder-rodinia-2.0-ft/1000_20_5___data_result_1000_20_5_txt--final_kernel,1000848
srad_v2-rodinia-2.0-ft/__data_matrix128x128_txt_0_127_0_127__5_2___data_result_matrix128x128_1_150_1_100__5_2_txt--final_kernel,10097470
streamcluster-rodinia-2.0-ft/3_6_16_1024_1024_100_none_output_txt_1___data_result_3_6_16_1024_1024_100_none_1_txt--final_kernel,20123220

